LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -5513.0, 781276.0, 5768090, -995.0, -1.0, 9408, 3979.0, 789063.0, 10067200,
1, 13.0, 95139.0, 1003520, 1.0, 92000.0, 4096, 23.0, 95153.0, 1204224, -5513.0, 92883.0, 1003520, -442.0, -1.0, 4096, 4015.0, 98229.0, 1204224,
2, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
3, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -5513.0, 361304.0, 3813376, -1658.0, -1.0, 16384, 4015.0, 362039.0, 4816896,
4, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -5513.0, 361304.0, 3813376, -1658.0, -1.0, 16384, 4015.0, 362039.0, 4816896,
5, 13.0, 348899.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348913.0, 4415488, -5513.0, 343769.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
6, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
7, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -5513.0, 361304.0, 3813376, -1658.0, -1.0, 16384, 4015.0, 362039.0, 4816896,
8, 13.0, 348899.0, 4014080, 1.0, 345760.0, 16384, 23.0, 348913.0, 4415488, -5513.0, 343769.0, 4014080, -1658.0, -1.0, 16384, 4015.0, 352277.0, 4415488,
9, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
10, 13.0, 361587.0, 3813376, 1.0, 358448.0, 16384, 23.0, 361597.0, 4816896, -5513.0, 361304.0, 3813376, -1658.0, -1.0, 16384, 4015.0, 362039.0, 4816896,
11, 13.0, 192889.0, 2152960, 1.0, 192075.0, 32768, 23.0, 192927.0, 2368256, -5513.0, 190664.0, 2007040, -3315.0, -1.0, 32768, 4123.0, 196209.0, 2368256,
12, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
13, 13.0, 333723.0, 3713024, 1.0, 332932.0, 65536, 23.0, 333733.0, 4415488, -5513.0, 332485.0, 3713024, -5525.0, 277171.0, 65536, 4159.0, 337097.0, 4415488,
14, 13.0, 713827.0, 7965952, 1.0, 713013.0, 131072, 23.0, 713871.0, 9473024, -5513.0, 711148.0, 7426048, -5525.0, 593738.0, 131072, 4123.0, 715108.0, 9473024,
15, 13.0, 352583.0, 4014080, 1.0, 351792.0, 65536, 23.0, 352587.0, 4315136, -5513.0, 349170.0, 4014080, -5525.0, 271423.0, 65536, 4159.0, 352739.0, 4315136,
16, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
17, 13.0, 333723.0, 3713024, 1.0, 332932.0, 65536, 23.0, 333733.0, 4415488, -5513.0, 332485.0, 3713024, -5525.0, 277171.0, 65536, 4159.0, 337097.0, 4415488,
18, 13.0, 352583.0, 4014080, 1.0, 351792.0, 65536, 23.0, 352587.0, 4315136, -5513.0, 349170.0, 4014080, -5525.0, 271423.0, 65536, 4159.0, 352739.0, 4315136,
19, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
20, 13.0, 333723.0, 3713024, 1.0, 332932.0, 65536, 23.0, 333733.0, 4415488, -5513.0, 332485.0, 3713024, -5525.0, 277171.0, 65536, 4159.0, 337097.0, 4415488,
21, 13.0, 352583.0, 4014080, 1.0, 351792.0, 65536, 23.0, 352587.0, 4315136, -5513.0, 349170.0, 4014080, -5525.0, 271423.0, 65536, 4159.0, 352739.0, 4315136,
22, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
23, 13.0, 333723.0, 3713024, 1.0, 332932.0, 65536, 23.0, 333733.0, 4415488, -5513.0, 332485.0, 3713024, -5525.0, 277171.0, 65536, 4159.0, 337097.0, 4415488,
24, 13.0, 213204.0, 2188800, 1.0, 212988.0, 131072, 23.0, 213226.0, 2476800, -5513.0, 210005.0, 1906688, -5525.0, 172791.0, 131072, 4591.0, 216359.0, 2476800,
