LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 12865.0, 15889.0, 774400,
1, 257.0, 3455.0, 200704, 193.0, 256.0, 4096, 511.0, 3709.0, 200704, -25166.0, -1.0, 200704, -6292.0, -1.0, 4096, 3901.0, 4684.0, 200704,
2, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
3, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3901.0, 7036.0, 802816,
4, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3901.0, 7036.0, 802816,
5, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, -81789.0, -1.0, 802816, -6292.0, -1.0, 16384, 3901.0, 4684.0, 200704,
6, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
7, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3901.0, 7036.0, 802816,
8, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, -81789.0, -1.0, 802816, -6292.0, -1.0, 16384, 3901.0, 4684.0, 200704,
9, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -25166.0, -1.0, 200704, -6292.0, -1.0, 36864, 11045.0, 13231.0, 559872,
10, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -25166.0, -1.0, 200704, -6292.0, -1.0, 16384, 3901.0, 7036.0, 802816,
11, 257.0, 1322.0, 215296, 1.0, 256.0, 32768, 511.0, 1478.0, 107648, -25166.0, -1.0, 200704, -6292.0, -1.0, 32768, 1606.0, 2026.0, 107648,
12, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -12583.0, -1.0, 100352, -18875.0, -1.0, 147456, 7209.0, 8898.0, 432640,
13, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -12583.0, -1.0, 100352, -12583.0, -1.0, 65536, 3099.0, 4666.0, 401408,
