LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 121785.0, 3557400, 1.0, 109778.0, 9408, 63.0, 121939.0, 3872000, -3243.0, 118796.0, 1328198, -983.0, -1.0, 9408, 1102.0, 122107.0, 3872031,
1, 33.0, 12889.0, 401408, 1.0, 9722.0, 4096, 63.0, 12919.0, 401408, -3243.0, 12611.0, 401408, -459.0, -1.0, 4096, 1102.0, 13175.0, 401439,
2, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3243.0, 107729.0, 3359232, -3275.0, 93342.0, 36864, 1102.0, 108887.0, 3359263,
3, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
4, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
5, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
6, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3243.0, 107729.0, 3359232, -3275.0, 93342.0, 36864, 1102.0, 108887.0, 3359263,
7, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
8, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -3243.0, 51606.0, 1605632, -1703.0, -1.0, 16384, 1102.0, 52703.0, 1605663,
9, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -3243.0, 107729.0, 3359232, -3275.0, 93342.0, 36864, 1102.0, 108887.0, 3359263,
