LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 121785.0, 3557400, 1.0, 109778.0, 9408, 63.0, 121939.0, 3872000, -3243.0, 118796.0, 1328198, -983.0, -1.0, 9408, 1102.0, 122107.0, 3872031,
1, 33.0, 12889.0, 401408, 1.0, 9722.0, 4096, 63.0, 12919.0, 401408, -3243.0, 12611.0, 401408, -459.0, -1.0, 4096, 1102.0, 13175.0, 401439,
2, 33.0, 325049.0, 10077696, 1.0, 322102.0, 110592, 63.0, 325079.0, 10077696, -3243.0, 324301.0, 10077696, -3275.0, 285981.0, 110592, 1102.0, 325639.0, 10077727,
3, 33.0, 10505.0, 301056, 1.0, 9690.0, 12288, 63.0, 10535.0, 301056, -3243.0, 10293.0, 301056, -1245.0, -1.0, 12288, 1196.0, 10727.0, 301087,
4, 33.0, 15773.0, 451584, 1.0, 14958.0, 18432, 63.0, 15803.0, 451584, -3243.0, 14857.0, 451584, -1900.0, -1.0, 18432, 1196.0, 16603.0, 451615,
5, 33.0, 83129.0, 2336256, 1.0, 82422.0, 110592, 63.0, 83159.0, 2336256, -3243.0, 82770.0, 2336256, -3275.0, 73181.0, 110592, 1196.0, 83463.0, 2336287,
6, 33.0, 5237.0, 150528, 1.0, 4422.0, 3072, 63.0, 5251.0, 75264, -3243.0, 4612.0, 150528, -328.0, -1.0, 3072, 2306.0, 5571.0, 75295,
7, 33.0, 8663.0, 230400, 1.0, 8072.0, 12800, 63.0, 8709.0, 239616, -1310.0, -1.0, 12544, -1310.0, -1.0, 12800, 1196.0, 9029.0, 239647,
8, 33.0, 5237.0, 150528, 1.0, 4422.0, 6144, 63.0, 5267.0, 150528, -3243.0, 4612.0, 150528, -655.0, -1.0, 6144, 1196.0, 5875.0, 150559,
9, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -3243.0, 27524.0, 802816, -3275.0, 27250.0, 32768, 1196.0, 28607.0, 802847,
