LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 862652.0, 8893500, 1.0, 862678.0, 9492672, 146.0, 862688.0, 905570, -7985.0, 791006.0, 782682, -959.0, -1.0, 9408, 81382.0, 866661.0, 774400,
1, 1.0, 115259.0, 1003520, 1.0, 115263.0, 1073152, 63.0, 115273.0, 234764, -7985.0, 110027.0, 1003520, -480.0, -1.0, 4096, 41956.0, 118204.0, 200704,
2, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 285586.0, 730918.0, 186624,
3, 1.0, 438043.0, 3813376, 1.0, 438043.0, 4292608, 63.0, 438053.0, 932244, -7985.0, 431072.0, 3813376, -1757.0, -1.0, 16384, 41956.0, 438354.0, 802816,
4, 1.0, 438043.0, 3813376, 1.0, 438043.0, 4292608, 63.0, 438053.0, 932244, -7985.0, 431072.0, 3813376, -1757.0, -1.0, 16384, 41956.0, 438354.0, 802816,
5, 1.0, 366779.0, 4014080, 1.0, 366783.0, 4292608, 255.0, 366793.0, 234764, -7985.0, 364645.0, 4014080, -1757.0, -1.0, 16384, 133540.0, 369724.0, 200704,
6, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 285586.0, 730918.0, 186624,
7, 1.0, 438043.0, 3813376, 1.0, 438043.0, 4292608, 63.0, 438053.0, 932244, -7985.0, 431072.0, 3813376, -1757.0, -1.0, 16384, 41956.0, 438354.0, 802816,
8, 1.0, 366779.0, 4014080, 1.0, 366783.0, 4292608, 255.0, 366793.0, 234764, -7985.0, 364645.0, 4014080, -1757.0, -1.0, 16384, 133540.0, 369724.0, 200704,
9, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 285586.0, 730918.0, 186624,
10, 1.0, 438043.0, 3813376, 1.0, 438043.0, 4292608, 63.0, 438053.0, 932244, -7985.0, 431072.0, 3813376, -1757.0, -1.0, 16384, 41956.0, 438354.0, 802816,
11, 1.0, 197942.0, 2152960, 1.0, 198777.0, 2326528, 255.0, 198787.0, 126108, -7985.0, 196819.0, 2007040, -3354.0, -1.0, 32768, 134675.0, 200782.0, 107648,
12, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 565647.0, 670794.0, 86528,
13, 1.0, 371163.0, 3713024, 1.0, 371167.0, 4325376, 127.0, 371177.0, 464900, -7985.0, 367130.0, 3713024, -6708.0, -1.0, 65536, 73092.0, 371328.0, 401408,
14, 1.0, 734702.0, 7965952, 1.0, 735543.0, 9306112, 255.0, 735553.0, 498894, -7985.0, 727059.0, 7426048, -7985.0, 437439.0, 132074, 134675.0, 737789.0, 430592,
15, 1.0, 353739.0, 4014080, 1.0, 353737.0, 4325376, 511.0, 353747.0, 117512, -7985.0, 351506.0, 4014080, -6708.0, -1.0, 65536, 257796.0, 355221.0, 100352,
16, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 565647.0, 670794.0, 86528,
17, 1.0, 371163.0, 3713024, 1.0, 371167.0, 4325376, 127.0, 371177.0, 464900, -7985.0, 367130.0, 3713024, -6708.0, -1.0, 65536, 73092.0, 371328.0, 401408,
18, 1.0, 353739.0, 4014080, 1.0, 353737.0, 4325376, 511.0, 353747.0, 117512, -7985.0, 351506.0, 4014080, -6708.0, -1.0, 65536, 257796.0, 355221.0, 100352,
19, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 565647.0, 670794.0, 86528,
20, 1.0, 371163.0, 3713024, 1.0, 371167.0, 4325376, 127.0, 371177.0, 464900, -7985.0, 367130.0, 3713024, -6708.0, -1.0, 65536, 73092.0, 371328.0, 401408,
21, 1.0, 353739.0, 4014080, 1.0, 353737.0, 4325376, 511.0, 353747.0, 117512, -7985.0, 351506.0, 4014080, -6708.0, -1.0, 65536, 257796.0, 355221.0, 100352,
22, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 565647.0, 670794.0, 86528,
23, 1.0, 371163.0, 3713024, 1.0, 371167.0, 4325376, 127.0, 371177.0, 464900, -7985.0, 367130.0, 3713024, -6708.0, -1.0, 65536, 73092.0, 371328.0, 401408,
24, 1.0, 192940.0, 2188800, 1.0, 193475.0, 2490368, 511.0, 193485.0, 66986, -7985.0, 186126.0, 1906688, -7985.0, 112103.0, 132074, 193495.0, 197609.0, 57600,
25, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -5111.0, -1.0, 50176, -7985.0, 448079.0, 712528, 530783.0, 533416.0, 36864,
26, 1.0, 352219.0, 3713024, 1.0, 352217.0, 4456448, 255.0, 352227.0, 233412, -5111.0, -1.0, 50176, -7985.0, 314239.0, 265150, 138591.0, 355164.0, 200704,
27, 1.0, 753060.0, 8524800, 1.0, 753593.0, 9961472, 511.0, 753603.0, 266956, -7985.0, 745327.0, 7426048, -7985.0, 672223.0, 530300, 258342.0, 758661.0, 230400,
28, 1.0, 338483.0, 3813376, 1.0, 338483.0, 4456448, 1023.0, 338493.0, 58574, -7985.0, 332648.0, 3813376, -7985.0, 267831.0, 286654, 338503.0, 342086.0, 50176,
29, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -5111.0, -1.0, 50176, -7985.0, 448079.0, 712528, 530783.0, 533416.0, 36864,
30, 1.0, 352219.0, 3713024, 1.0, 352217.0, 4456448, 255.0, 352227.0, 233412, -5111.0, -1.0, 50176, -7985.0, 314239.0, 265150, 138591.0, 355164.0, 200704,
31, 1.0, 338483.0, 3813376, 1.0, 338483.0, 4456448, 1023.0, 338493.0, 58574, -7985.0, 332648.0, 3813376, -7985.0, 267831.0, 286654, 338503.0, 342086.0, 50176,
