LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1124212.0, 1778700, 13.0, 1124478.0, 8137920, 23.0, 1124489.0, 10067200, -5525.0, 789902.0, 157036, -995.0, -1.0, 9408, 6175.0, 1124723.0, 10067200,
1, 1.0, 134312.0, 200704, 13.0, 134379.0, 917504, 23.0, 134399.0, 1204224, -5525.0, 110912.0, 200704, -442.0, -1.0, 4096, 6175.0, 137469.0, 1204224,
2, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
3, 1.0, 392168.0, 200704, 13.0, 392427.0, 3670016, 23.0, 392447.0, 4816896, -5525.0, 323840.0, 200704, -1658.0, -1.0, 16384, 4519.0, 392879.0, 4816896,
4, 1.0, 392168.0, 200704, 13.0, 392427.0, 3670016, 23.0, 392447.0, 4816896, -5525.0, 323840.0, 200704, -1658.0, -1.0, 16384, 4519.0, 392879.0, 4816896,
5, 1.0, 492712.0, 802816, 13.0, 492779.0, 3670016, 23.0, 492799.0, 4415488, -5525.0, 474706.0, 802816, -1658.0, -1.0, 16384, 6175.0, 496157.0, 4415488,
6, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
7, 1.0, 392168.0, 200704, 13.0, 392427.0, 3670016, 23.0, 392447.0, 4816896, -5525.0, 323840.0, 200704, -1658.0, -1.0, 16384, 4519.0, 392879.0, 4816896,
8, 1.0, 492712.0, 802816, 13.0, 492779.0, 3670016, 23.0, 492799.0, 4415488, -5525.0, 474706.0, 802816, -1658.0, -1.0, 16384, 6175.0, 496157.0, 4415488,
9, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
10, 1.0, 392168.0, 200704, 13.0, 392427.0, 3670016, 23.0, 392447.0, 4816896, -5525.0, 323840.0, 200704, -1658.0, -1.0, 16384, 4519.0, 392879.0, 4816896,
11, 1.0, 209112.0, 215296, 13.0, 220067.0, 1998848, 23.0, 220074.0, 2368256, -5525.0, 172538.0, 200704, -3315.0, -1.0, 32768, 5059.0, 223357.0, 2368256,
12, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
13, 1.0, 337032.0, 100352, 13.0, 337551.0, 3670016, 23.0, 337567.0, 4415488, -5525.0, 185235.0, 100352, -5513.0, 335276.0, 3670016, 4231.0, 340925.0, 4415488,
14, 1.0, 698712.0, 215296, 13.0, 735395.0, 7995392, 23.0, 735402.0, 9473024, -5525.0, 576506.0, 200704, -5513.0, 731522.0, 7995392, 4231.0, 736646.0, 9473024,
15, 1.0, 394760.0, 401408, 13.0, 394895.0, 3670016, 23.0, 394911.0, 4315136, -5525.0, 380325.0, 401408, -5513.0, 392352.0, 3670016, 5059.0, 395051.0, 4315136,
16, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
17, 1.0, 337032.0, 100352, 13.0, 337551.0, 3670016, 23.0, 337567.0, 4415488, -5525.0, 185235.0, 100352, -5513.0, 335276.0, 3670016, 4231.0, 340925.0, 4415488,
18, 1.0, 394760.0, 401408, 13.0, 394895.0, 3670016, 23.0, 394911.0, 4315136, -5525.0, 380325.0, 401408, -5513.0, 392352.0, 3670016, 5059.0, 395051.0, 4315136,
19, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
20, 1.0, 337032.0, 100352, 13.0, 337551.0, 3670016, 23.0, 337567.0, 4415488, -5525.0, 185235.0, 100352, -5513.0, 335276.0, 3670016, 4231.0, 340925.0, 4415488,
21, 1.0, 394760.0, 401408, 13.0, 394895.0, 3670016, 23.0, 394911.0, 4315136, -5525.0, 380325.0, 401408, -5513.0, 392352.0, 3670016, 5059.0, 395051.0, 4315136,
22, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
23, 1.0, 337032.0, 100352, 13.0, 337551.0, 3670016, 23.0, 337567.0, 4415488, -5525.0, 185235.0, 100352, -5513.0, 335276.0, 3670016, 4231.0, 340925.0, 4415488,
24, 1.0, 188060.0, 115200, 13.0, 213435.0, 2228224, 23.0, 213438.0, 2476800, -5525.0, 103083.0, 100352, -5513.0, 211614.0, 2228224, 4519.0, 216574.0, 2476800,
25, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
26, 1.0, 325432.0, 50176, 13.0, 326459.0, 3670016, 23.0, 326479.0, 4415488, -5083.0, -1.0, 50176, -5513.0, 323748.0, 3670016, 4087.0, 329837.0, 4415488,
27, 1.0, 682652.0, 115200, 13.0, 774843.0, 8912896, 23.0, 774846.0, 9907200, -5525.0, 374187.0, 100352, -5513.0, 772994.0, 8912896, 4087.0, 775504.0, 9907200,
28, 1.0, 351288.0, 200704, 13.0, 351547.0, 3670016, 23.0, 351567.0, 4315136, -5525.0, 289968.0, 200704, -5513.0, 349132.0, 3670016, 4519.0, 351707.0, 4315136,
29, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
30, 1.0, 325432.0, 50176, 13.0, 326459.0, 3670016, 23.0, 326479.0, 4415488, -5083.0, -1.0, 50176, -5513.0, 323748.0, 3670016, 4087.0, 329837.0, 4415488,
31, 1.0, 351288.0, 200704, 13.0, 351547.0, 3670016, 23.0, 351567.0, 4315136, -5525.0, 289968.0, 200704, -5513.0, 349132.0, 3670016, 4519.0, 351707.0, 4315136,
32, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
33, 1.0, 325432.0, 50176, 13.0, 326459.0, 3670016, 23.0, 326479.0, 4415488, -5083.0, -1.0, 50176, -5513.0, 323748.0, 3670016, 4087.0, 329837.0, 4415488,
34, 1.0, 351288.0, 200704, 13.0, 351547.0, 3670016, 23.0, 351567.0, 4315136, -5525.0, 289968.0, 200704, -5513.0, 349132.0, 3670016, 4519.0, 351707.0, 4315136,
35, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
36, 1.0, 325432.0, 50176, 13.0, 326459.0, 3670016, 23.0, 326479.0, 4415488, -5083.0, -1.0, 50176, -5513.0, 323748.0, 3670016, 4087.0, 329837.0, 4415488,
37, 1.0, 351288.0, 200704, 13.0, 351547.0, 3670016, 23.0, 351567.0, 4315136, -5525.0, 289968.0, 200704, -5513.0, 349132.0, 3670016, 4519.0, 351707.0, 4315136,
38, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
