LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 862652.0, 8893500, 1.0, 862678.0, 9492672, 146.0, 862688.0, 905570, -4300.0, 821771.0, 811632, -995.0, -1.0, 9408, 56411.0, 862711.0, 774400,
1, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -4300.0, 718179.0, 1182504, -3757.0, -1.0, 36864, 197981.0, 730479.0, 186624,
2, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -4300.0, 718179.0, 1182504, -3757.0, -1.0, 36864, 197981.0, 730479.0, 186624,
3, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -4300.0, 718179.0, 1182504, -3757.0, -1.0, 36864, 197981.0, 730479.0, 186624,
4, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -4300.0, 718179.0, 1182504, -3757.0, -1.0, 36864, 197981.0, 730479.0, 186624,
5, 1.0, 395786.0, 4515840, 1.0, 395977.0, 4866048, 575.0, 395987.0, 117512, -4300.0, 388069.0, 2144888, -5525.0, 238097.0, 80594, 199787.0, 399217.0, 100352,
6, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -4300.0, 662939.0, 1177128, -5525.0, 402689.0, 161188, 391595.0, 672549.0, 86528,
7, 1.0, 62198.0, 538240, 1.0, 62457.0, 581632, 63.0, 62467.0, 126108, -4300.0, 58757.0, 501760, -884.0, -1.0, 8192, 29296.0, 66218.0, 107648,
8, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -4300.0, 662939.0, 1177128, -5525.0, 402689.0, 161188, 391595.0, 672549.0, 86528,
9, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -4300.0, 662939.0, 1177128, -5525.0, 402689.0, 161188, 391595.0, 672549.0, 86528,
10, 1.0, 379442.0, 4290048, 1.0, 379827.0, 5013504, 1151.0, 379837.0, 58574, -4300.0, 377920.0, 1983042, -5525.0, 300377.0, 329242, 379847.0, 383430.0, 50176,
11, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -4300.0, 526071.0, 1089336, -5525.0, 476561.0, 980722, 530783.0, 533416.0, 36864,
12, 1.0, 54700.0, 547200, 1.0, 54851.0, 622592, 127.0, 54861.0, 66986, -2580.0, -1.0, 25088, -3315.0, -1.0, 32768, 50754.0, 55035.0, 57600,
13, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -4300.0, 526071.0, 1089336, -5525.0, 476561.0, 980722, 530783.0, 533416.0, 36864,
14, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -4300.0, 526071.0, 1089336, -5525.0, 476561.0, 980722, 530783.0, 533416.0, 36864,
15, 1.0, 429632.0, 4177152, 1.0, 430663.0, 5898240, 2303.0, 430673.0, 29898, -4300.0, 422558.0, 2095611, -5525.0, 409049.0, 1984438, 430679.0, 432470.0, 25088,
16, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2580.0, -1.0, 25088, -5525.0, 499825.0, 7004160, 514151.0, 515065.0, 12800,
17, 1.0, 61862.0, 606208, 1.0, 62143.0, 786432, 255.0, 62153.0, 38540, -1290.0, -1.0, 12544, -5525.0, 50513.0, 134052, 62159.0, 64499.0, 32768,
18, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2580.0, -1.0, 25088, -5525.0, 499825.0, 7004160, 514151.0, 515065.0, 12800,
19, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2580.0, -1.0, 25088, -5525.0, 499825.0, 7004160, 514151.0, 515065.0, 12800,
20, 1.0, 38568.0, 36864, 1.0, 38573.0, 512000, 522.0, 38583.0, 2872, -86.0, -1.0, 512, -5525.0, 37181.0, 512000, 38591.0, 38662.0, 1000,
