LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 1124212.0, 1778700, 13.0, 1124478.0, 8137920, 23.0, 1124489.0, 10067200, -5525.0, 789902.0, 157036, -995.0, -1.0, 9408, 6175.0, 1124723.0, 10067200,
1, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
2, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
3, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
4, 1.0, 1003112.0, 1679616, 13.0, 1003187.0, 7704576, 23.0, 1003189.0, 8957952, -5525.0, 997202.0, 222998, -3757.0, -1.0, 36864, 6175.0, 1007137.0, 8957952,
5, 1.0, 438056.0, 451584, 13.0, 440819.0, 4128768, 23.0, 440831.0, 4816896, -5525.0, 345068.0, 208758, -5513.0, 436522.0, 4128768, 5059.0, 441263.0, 4816896,
6, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
7, 1.0, 56920.0, 53824, 13.0, 60003.0, 499712, 23.0, 60010.0, 645888, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 5059.0, 62710.0, 645888,
8, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
9, 1.0, 771304.0, 778752, 13.0, 771443.0, 7225344, 23.0, 771445.0, 8306688, -5525.0, 391473.0, 107474, -5513.0, 766896.0, 7225344, 5059.0, 772321.0, 8306688,
10, 1.0, 382824.0, 225792, 13.0, 392435.0, 4128768, 23.0, 392447.0, 4816896, -5525.0, 207915.0, 101735, -5513.0, 388606.0, 4128768, 4519.0, 392879.0, 4816896,
11, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
12, 1.0, 47900.0, 28800, 13.0, 54587.0, 557056, 23.0, 54590.0, 633600, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 4519.0, 56412.0, 633600,
13, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
14, 1.0, 616424.0, 331776, 13.0, 616691.0, 6488064, 23.0, 616693.0, 7077888, -5083.0, -1.0, 50176, -5513.0, 614449.0, 6488064, 4519.0, 620643.0, 7077888,
15, 1.0, 385256.0, 112896, 13.0, 420851.0, 4718592, 23.0, 420856.0, 4816896, -5083.0, -1.0, 50176, -5513.0, 418876.0, 4718592, 4231.0, 421295.0, 4816896,
16, 1.0, 420328.0, 115200, 13.0, 420851.0, 4718592, 23.0, 420860.0, 4915200, -2542.0, -1.0, 25088, -5513.0, 418876.0, 4718592, 4231.0, 424367.0, 4915200,
17, 1.0, 47688.0, 16384, 13.0, 60259.0, 655360, 23.0, 60273.0, 720896, -1326.0, -1.0, 12544, -5513.0, 55665.0, 655360, 4231.0, 60424.0, 720896,
18, 1.0, 420328.0, 115200, 13.0, 420851.0, 4718592, 23.0, 420860.0, 4915200, -2542.0, -1.0, 25088, -5513.0, 418876.0, 4718592, 4231.0, 424367.0, 4915200,
19, 1.0, 420328.0, 115200, 13.0, 420851.0, 4718592, 23.0, 420860.0, 4915200, -2542.0, -1.0, 25088, -5513.0, 418876.0, 4718592, 4231.0, 424367.0, 4915200,
20, 1.0, 43524.0, 512, 13.0, 44531.0, 512000, 23.0, 44534.0, 43000, -111.0, -1.0, 512, -5513.0, 42931.0, 512000, 44547.0, 47618.0, 43000,
