LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 788707.0, 8893500, 1.0, 776716.0, 9408, 23.0, 788833.0, 10067200, -5513.0, 781276.0, 5768090, -995.0, -1.0, 9408, 3979.0, 789063.0, 10067200,
1, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
2, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
3, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
4, 13.0, 708467.0, 8398080, 1.0, 705540.0, 36864, 23.0, 708473.0, 8957952, -5513.0, 708455.0, 8398080, -3757.0, -1.0, 36864, 4015.0, 712417.0, 8957952,
5, 13.0, 393558.0, 4515840, 1.0, 392792.0, 73728, 23.0, 393587.0, 4816896, -5513.0, 389118.0, 4246723, -5525.0, 268971.0, 73728, 4159.0, 394031.0, 4816896,
6, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
7, 13.0, 52569.0, 538240, 1.0, 51755.0, 8192, 23.0, 52607.0, 645888, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 4123.0, 55306.0, 645888,
8, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
9, 13.0, 683507.0, 7787520, 1.0, 682820.0, 147456, 23.0, 683507.0, 8306688, -5513.0, 678909.0, 7787520, -5525.0, 467793.0, 147456, 4159.0, 684385.0, 8306688,
10, 13.0, 423140.0, 4290048, 1.0, 422948.0, 294912, 23.0, 423157.0, 4816896, -5513.0, 416315.0, 2145697, -5525.0, 381413.0, 294912, 4699.0, 423599.0, 4816896,
11, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
12, 13.0, 54516.0, 547200, 1.0, 54300.0, 32768, 23.0, 54538.0, 633600, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 4591.0, 56357.0, 633600,
13, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
14, 13.0, 656627.0, 6303744, 1.0, 656472.0, 589824, 23.0, 656629.0, 7077888, -5083.0, -1.0, 50176, -5525.0, 591849.0, 589824, 4951.0, 660579.0, 7077888,
15, 13.0, 603819.0, 4177152, 1.0, 603767.0, 1179648, 23.0, 603833.0, 4816896, -5083.0, -1.0, 50176, -5525.0, 587013.0, 1179648, 6859.0, 604271.0, 4816896,
16, 13.0, 866675.0, 4262400, 1.0, 866639.0, 2359296, 23.0, 866681.0, 4915200, -2542.0, -1.0, 25088, -5525.0, 842538.0, 2359296, 9635.0, 870191.0, 4915200,
17, 13.0, 81370.0, 606208, 1.0, 81312.0, 131072, 23.0, 81393.0, 720896, -1326.0, -1.0, 12544, -5525.0, 67709.0, 131072, 6175.0, 81544.0, 720896,
18, 13.0, 866675.0, 4262400, 1.0, 866639.0, 2359296, 23.0, 866681.0, 4915200, -2542.0, -1.0, 25088, -5525.0, 842538.0, 2359296, 9635.0, 870191.0, 4915200,
19, 13.0, 866675.0, 4262400, 1.0, 866639.0, 2359296, 23.0, 866681.0, 4915200, -2542.0, -1.0, 25088, -5525.0, 842538.0, 2359296, 9635.0, 870191.0, 4915200,
20, 13.0, 114535.0, 36864, 1.0, 114527.0, 512000, 23.0, 114543.0, 43000, -111.0, -1.0, 512, -5525.0, 110344.0, 512000, 114551.0, 117622.0, 43000,
