LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 182660.0, 338688, 13.0, 182762.0, 774144, 23.0, 182783.0, 1204224, -5525.0, 132470.0, 151909, -111.0, -1.0, 864, 8407.0, 185853.0, 1204224,
1, 1.0, 768095.0, 3484800, 13.0, 768107.0, 249120, 23.0, 768109.0, 290400, -5525.0, 752766.0, 456656, -111.0, -1.0, 288, 146146.0, 769112.0, 290400,
2, 1.0, 268712.0, 401408, 13.0, 268783.0, 1835008, 23.0, 268799.0, 2408448, -5525.0, 258909.0, 401408, -221.0, -1.0, 2048, 6175.0, 270990.0, 2408448,
3, 1.0, 397207.0, 1806336, 13.0, 397811.0, 129024, 23.0, 397823.0, 150528, -5525.0, 388062.0, 903118, -111.0, -1.0, 576, 146146.0, 400675.0, 150528,
4, 1.0, 220264.0, 200704, 13.0, 220395.0, 1835008, 23.0, 220415.0, 2408448, -5525.0, 181888.0, 200704, -884.0, -1.0, 8192, 5059.0, 222606.0, 2408448,
5, 1.0, 742343.0, 3359232, 13.0, 742355.0, 240768, 23.0, 742357.0, 279936, -5525.0, 702490.0, 530786, -221.0, -1.0, 1152, 146146.0, 742613.0, 279936,
6, 1.0, 403944.0, 401408, 13.0, 404079.0, 3670016, 23.0, 404095.0, 4415488, -5525.0, 389181.0, 401408, -1658.0, -1.0, 16384, 5059.0, 407453.0, 4415488,
7, 1.0, 197703.0, 903168, 13.0, 198899.0, 64512, 23.0, 198911.0, 75264, -5525.0, 173162.0, 436926, -221.0, -1.0, 1152, 146146.0, 200337.0, 75264,
8, 1.0, 179592.0, 100352, 13.0, 179855.0, 1835008, 23.0, 179871.0, 2207744, -5525.0, 98707.0, 100352, -3315.0, -1.0, 32768, 4519.0, 183525.0, 2207744,
9, 1.0, 348071.0, 1557504, 13.0, 348083.0, 112896, 23.0, 348085.0, 129792, -5525.0, 310583.0, 252232, -332.0, -1.0, 2304, 146146.0, 349466.0, 129792,
